"","sampleID","group"
"1","P105","3"
"2","P122","2"
"3","P130","1"
"4","P160","3"
"5","P172","5"
"6","P179","5"
"7","P18","1"
"8","P180","1"
"9","P182","4"
"10","P209","2"
"11","P213","1"
"12","P218","3"
"13","P223","4"
"14","P226","2"
"15","P266","5"
"16","P270","3"
"17","P273","3"
"18","P282","5"
"19","P289","4"
"20","P292","1"
"21","P293","5"
"22","P312","4"
"23","P33","3"
"24","P34","3"
"25","P340","5"
"26","P346","5"
"27","P36","3"
"28","P389","3"
"29","P39","5"
"30","P390","5"
"31","P394","2"
"32","P399","2"
"33","P402","5"
"34","P404","4"
"35","P407","3"
"36","P43","3"
"37","P472","3"
"38","P481","3"
"39","P483","5"
"40","P498","3"
"41","P5","3"
"42","P509","3"
"43","P510","4"
"44","P520","4"
"45","P523","3"
"46","P528","5"
"47","P533","2"
"48","P550","2"
"49","P567","4"
"50","P574","3"
"51","P579","3"
"52","P587","1"
"53","P592","3"
"54","P595","5"
"55","P64","3"
"56","P70","4"
"57","P71","1"
"58","P96","3"
