"","sampleID","group"
"1","P1","4"
"2","P102","1"
"3","P103","3"
"4","P105","3"
"5","P106","4"
"6","P107","1"
"7","P111","2"
"8","P113","3"
"9","P114","2"
"10","P115","5"
"11","P118","3"
"12","P119","3"
"13","P121","3"
"14","P122","2"
"15","P124","3"
"16","P125","3"
"17","P127","2"
"18","P130","2"
"19","P131","4"
"20","P137","3"
"21","P142","3"
"22","P146","3"
"23","P150","1"
"24","P156","4"
"25","P158","2"
"26","P16","3"
"27","P160","3"
"28","P161","5"
"29","P164","5"
"30","P166","2"
"31","P168","5"
"32","P172","5"
"33","P174","2"
"34","P179","2"
"35","P18","1"
"36","P180","3"
"37","P182","4"
"38","P184","3"
"39","P185","2"
"40","P189","1"
"41","P190","3"
"42","P192","3"
"43","P199","2"
"44","P2","3"
"45","P20","3"
"46","P200","2"
"47","P201","3"
"48","P204","3"
"49","P205","3"
"50","P206","5"
"51","P207","2"
"52","P209","2"
"53","P213","3"
"54","P218","3"
"55","P22","4"
"56","P221","4"
"57","P223","4"
"58","P226","3"
"59","P227","1"
"60","P23","1"
"61","P233","3"
"62","P234","1"
"63","P235","3"
"64","P24","1"
"65","P243","3"
"66","P247","5"
"67","P248","2"
"68","P249","2"
"69","P257","1"
"70","P258","1"
"71","P259","4"
"72","P26","4"
"73","P261","3"
"74","P264","3"
"75","P265","5"
"76","P266","5"
"77","P267","2"
"78","P268","2"
"79","P270","3"
"80","P273","3"
"81","P277","1"
"82","P278","5"
"83","P279","2"
"84","P280","2"
"85","P281","4"
"86","P282","5"
"87","P285","2"
"88","P286","1"
"89","P287","1"
"90","P288","3"
"91","P289","4"
"92","P29","3"
"93","P291","2"
"94","P292","2"
"95","P293","5"
"96","P296","1"
"97","P298","3"
"98","P3","2"
"99","P304","3"
"100","P309","2"
"101","P31","3"
"102","P312","3"
"103","P32","4"
"104","P321","5"
"105","P322","2"
"106","P323","4"
"107","P325","1"
"108","P328","3"
"109","P329","3"
"110","P33","3"
"111","P334","3"
"112","P337","3"
"113","P339","2"
"114","P34","3"
"115","P340","5"
"116","P346","5"
"117","P347","2"
"118","P349","2"
"119","P35","3"
"120","P36","3"
"121","P365","1"
"122","P367","1"
"123","P368","2"
"124","P372","2"
"125","P380","2"
"126","P387","3"
"127","P389","3"
"128","P39","5"
"129","P390","1"
"130","P391","4"
"131","P394","2"
"132","P395","4"
"133","P399","2"
"134","P4","3"
"135","P402","5"
"136","P403","2"
"137","P404","4"
"138","P405","5"
"139","P407","3"
"140","P412","1"
"141","P414","3"
"142","P416","4"
"143","P417","1"
"144","P418","3"
"145","P420","3"
"146","P423","3"
"147","P427","3"
"148","P428","4"
"149","P43","2"
"150","P432","4"
"151","P44","2"
"152","P445","2"
"153","P45","3"
"154","P453","3"
"155","P454","4"
"156","P457","1"
"157","P459","5"
"158","P46","3"
"159","P462","4"
"160","P463","2"
"161","P464","3"
"162","P467","4"
"163","P469","3"
"164","P47","3"
"165","P470","3"
"166","P471","1"
"167","P472","3"
"168","P473","2"
"169","P477","5"
"170","P481","3"
"171","P482","4"
"172","P483","5"
"173","P485","3"
"174","P486","3"
"175","P491","4"
"176","P494","3"
"177","P496","5"
"178","P498","3"
"179","P5","3"
"180","P502","5"
"181","P509","4"
"182","P510","2"
"183","P511","2"
"184","P520","3"
"185","P523","3"
"186","P524","2"
"187","P525","2"
"188","P527","3"
"189","P528","5"
"190","P53","3"
"191","P533","2"
"192","P540","4"
"193","P550","2"
"194","P567","4"
"195","P57","3"
"196","P574","3"
"197","P579","3"
"198","P58","3"
"199","P587","3"
"200","P59","1"
"201","P592","3"
"202","P595","5"
"203","P6","3"
"204","P62","4"
"205","P63","4"
"206","P64","3"
"207","P66","3"
"208","P67","2"
"209","P68","2"
"210","P69","4"
"211","P70","2"
"212","P71","1"
"213","P73","1"
"214","P74","1"
"215","P84","2"
"216","P9","3"
"217","P90","3"
"218","P92","1"
"219","P93","3"
"220","P94","1"
"221","P96","3"
"222","P97","2"
